month,year,inflation,rubles
1,2021,0.0519,1
2,2021,0.0567,1.004606481
3,2021,0.0579,1.00932964
4,2021,0.0553,1.01386708
5,2021,0.0602,1.018818147
6,2021,0.065,1.024178856
7,2021,0.065,1.029567773
8,2021,0.0668,1.035130703
9,2021,0.074,1.041307222
10,2021,0.0813,1.04811209
11,2021,0.084,1.055180697
12,2021,0.0839,1.062288807
1,2022,0.0873,1.069723955
2,2022,0.092,1.077598408
3,2022,0.167,1.091556397
4,2022,0.178,1.106559965
5,2022,0.171,1.121212751
6,2022,0.159,1.135084816
7,2022,0.151,1.148465424
8,2022,0.143,1.161328571
9,2022,0.137,1.17382084
10,2022,0.126,1.185486688
11,2022,0.12,1.196735526
12,2022,0.119,1.208001177
1,2023,0.118,1.219282034
2,2023,0.11,1.229931967
3,2023,0.035,1.233462977
4,2023,0.023,1.235802553
5,2023,0.025,1.238348104
6,2023,0.033,1.241703114
7,2023,0.043,1.246067195
8,2023,0.052,1.251342248
9,2023,0.06,1.25743322
10,2023,0.067,1.264247096
11,2023,0.075,1.271889367
12,2023,0.074,1.279478601
1,2024,0.074,1.287113119
2,2024,0.077,1.295094201
3,2024,0.077,1.303124772
4,2024,0.078,1.311306551
5,2024,0.083,1.320048645
6,2024,0.086,1.329155383
7,2024,0.091,1.338837342
8,2024,0.091,1.348589828
9,2024,0.086,1.357893465
10,2024,0.085,1.367156326
11,2024,0.089,1.376904544
12,2024,0.095,1.387357362
1,2025,0.099,1.398314359
2,2025,0.101,1.409571447
